N/A
A & M Cons High School in College Station, TX
Levy Sp Ed Center in Wichita, KS
Lewis And Clark Hall in St Louis, MO
Lewis And Clark Learning Ctr. in Independence, MO
Lewis Clark Career Ctr. in St Charles, MO
Lewis Elem in Lewis, KS
Lewis University - Kirtland Air Force Base in Kirtland AFB, NM
Lewis University - LUA Executive Office in Albuquerque, NM
Lewisburg High School in Olive Branch, MS
Lewisburg Primary in Olive Branch, MS
Lewis-Palmer High School in Monument, CO
Lewisville High School Ben Harmon Campus in Lewisville, TX
Lewisville High School C Douglas Killough Campus in Lewisville, TX
Lewisville High School in Lewisville, TX
Lex La-Ray Technical Center - Lex LaRay Technical Center in Lexington, MO
Lex La-Ray Technical Ctr. in Lexington, MO
Lexington High in Lexington, MO
Lexington High School in Lexington, OK
Lexington High School in Lexington, TX
Lexington Intermediate School in Lexington, OK
Liberal High in Liberal, MO
Liberal Sr High in Liberal, KS
Liberty Academy in Liberty, MO
Liberty Academy in Victoria, TX
Liberty Common Charter School in Fort Collins, CO
Liberty Elem in Galena, KS
Liberty High in Liberty, MO
Liberty High School in Colorado Springs, CO
Liberty High School in Frisco, TX
Liberty High School in Houston, TX
Liberty High School in Lake St. Louis, MO
Liberty High School in Liberty, TX
Liberty High School in Mounds, OK
Liberty Hill High School in Liberty Hill, TX
Liberty Hill Int in Liberty Hill, TX
Liberty Hill J H in Liberty Hill, TX
Liberty J H in Dallas, TX
Liberty Junior-Senior High School in Joes, CO
Liberty North High School in Liberty, MO
Liberty Point International School in Pueblo West, CO
Liberty Public School in Muldrow, OK
Liberty Sr. High in Mountain View, MO
Liberty-Eylau High School in Texarkana, TX
Liberty-Eylau Pre-K Center Grandview Campus in Texarkana, TX
Liberty-Eylau Pri in Texarkana, TX
Liberty-Eylau School Of Success in Texarkana, TX
Licking High in Licking, MO
Life High School Waxahachie in Waxahachie, TX
Life School Cedar Hill in Cedar Hill, TX
Life School Lancaster in Lancaster, TX
Life School Mountain Creek in Dallas, TX
Life School Oak Cliff in Dallas, TX
Life School Red Oak in Red Oak, TX
Life Skills Center Of Colorado Springs in Colorado Springs, CO
Life Time Academy - Austin in Austin, TX
Life Time Academy - Centennial in Centennial, CO
Life Time Academy - Colorado Springs in Colorado Springs, CO
Life Time Academy - Houston in Houston, TX
Life Time Academy - Lenexa in Lenexa, KS
Life Time Academy - Plano in Plano, TX
Life Time Academy - San Antonio in San Antonio, TX
Life Time Academy - Vernon Hills in Vernon Hills, CO
Life Time Academy - Westminster in Westminster, CO
Lifehouse in Houston, TX
Lift For Life Academy High School in St Louis, MO
Lift For Life Academy in St Louis, MO
Liggett Trail Education Center in Blue Springs, MO
Lighthouse Academies Of Tulsa in Tulsa, OK
Lighthouse Academies Okc Inc in Oklahoma City, OK
Lighthouse Charter School - B Campus in San Antonio, TX
Lighthouse Charter School in San Antonio, TX
Lighthouse Learning Center - Aec in Clute, TX
Lighthouse Learning Center - Daep in Clute, TX
Lighthouse Learning Center - Jjaep in Clute, TX
Lillian Schoolaper School in Bowling Green, MO
Lillie Burney Steam Academy in Hattiesburg, MS
Lillie J Jackson Early Childhood Center in Lewisville, TX
Lillion E Luehrs J H in Bishop, TX
Limestone County Juvenile Detention Center in Groesbeck, TX
Limon Junior-Senior High School in Limon, CO
Lincoln Central Elem in Cherryvale, KS
Lincoln Charter Academy in Arvada, CO
Lincoln College Prep. in Kansas City, MO
Lincoln Elem in Augusta, KS
Lincoln Elem in Baxter Springs, KS
Lincoln Elem in Clay Center, KS
Lincoln Elem in El Dorado, KS
Lincoln Elem in Great Bend, KS
Lincoln Elem in Hays, KS
Lincoln Elem in Iola, KS
Lincoln Elem in Junction City, KS
Lincoln Elem in Liberal, KS
Lincoln Elem in Lincoln, KS
Lincoln Elem in Mcpherson, KS
Lincoln Elem in Ottawa, KS
Lincoln Elem in Wellington, KS
Lincoln High in Lincoln, MO
Lincoln High School in Fort Morgan, CO
Lincoln Humanities/Communications Magnet High School in Dallas, TX
Lincoln Intermediate in Farmington, MO
Lincoln Jackson Arts in Clovis, NM
Lincoln Jr/Sr High in Lincoln, KS
Lincoln Junior High in Coldspring, TX
Lincoln Learning Ctr in El Reno, OK
Lincoln Memorial Elem in Caney, KS
Lincoln Parish Early Childhood Center in Ruston, LA
Lincoln Park Preschool in Grand Junction, CO
Lincoln Park School in Brownsville, TX
Lincoln Pines in Ft Stanton, NM
Lincoln School in Parsons, KS
Lincoln School Of Science And Technology in Canon City, CO
Lincoln University - Fort Leonard Wood in Fort Leonard Wood, MO
Linda Tutt High School in Sanger, TX
Lindale High School in Lindale, TX
Lindale Junior High in Lindale, TX
Lindbergh Elem in Kansas City, KS
Lindberghigh Schoolr. High in St. Louis, MO
Linden-Kildare High School in Linden, TX
Lindenwood University - Aurora School District in Aurora, MO
Lindenwood University - Blue Eye Schools in Blue Eye, MO
Lindenwood University - Boeing in St. Louis, MO
Lindenwood University - Boonville High School in Boonville, MO
Lindenwood University - Boonville High School in Boonville, MO
Lindenwood University - BourbonSullivan School District in Bourbon, MO
Lindenwood University - Branson's Intermediate in Branson, MO
Lindenwood University - Cassville School District in Cassville, MO
Lindenwood University - Central Visual/Performing Arts High School in St. Louis, MO
Lindenwood University - Clever High School in Clever, MO
Lindenwood University - Columbia School District in Columbia, MO
Lindenwood University - Columbia School District in Columbia, MO
Lindenwood University - Crystal City in Crystal City, MO
Lindenwood University - Daniel Boone Campus in Defiance, MO
Lindenwood University - East Newton High School in Granby, MO
Lindenwood University - East Newton School District in Granby, MO
Lindenwood University - Eldon in Eldon, MO
Lindenwood University - Exeter School District in Exeter, MO
Lindenwood University - FergusonFlorissant School District in Ferguson-Florissant, MO
Lindenwood University - Florissant Campus, North County in Florissant, MO
Lindenwood University - Fordland School District in Fordland, MO
Lindenwood University - Forsyth School District in Forsyth, MO
Lindenwood University - Fort Zumwalt School District in St. Peters, MO
Lindenwood University - Fort Zumwalt South High School in Saint Peters, MO
Lindenwood University - Fox School District in Arnold, MO
Lindenwood University - Francis Howell School District in Saint Charles, MO
Lindenwood University - Hannibal Career and Tech Center in Hannibal, MO
Lindenwood University - Hannibal School District in Hannibal, MO
Lindenwood University - Hazelwood School District in Hazelwood, MO
Lindenwood University - Hazelwood West High School in Hazelwood, MO
Lindenwood University - Jennings School District in St. Louis, MO
Lindenwood University - Joplin School District in Joplin, MO
Lindenwood University - Ladue School District in Ladue, MO
Lindenwood University - Lincoln County Center in Moscow Mills, MO
Lindenwood University - Mansfield School District in Mansfield, MO
Lindenwood University - Mehlville School District in St. Louis, MO
Lindenwood University - Melville High School in Saint Louis, MO
Lindenwood University - Missouri Valley College in Marshall, MO
Lindenwood University - Nixa School in Nixa, MO
Lindenwood University - Normandy High School in St. Louis, MO
Lindenwood University - Normandy School District in St. Louis, MO
Lindenwood University - North County Junior High School in Bonne Terre, MO
Lindenwood University - North County Senior High School in Bonne Terre, MO
Lindenwood University - Northwest House Springs School District in High Ridge, MO
Lindenwood University - O'Fallon in O'Fallon, MO
Lindenwood University - O'Fallon South in O'Fallon, MO
Lindenwood University - Ozark School District Central Office in Ozark, MO
Lindenwood University - Ozark Tech Community College in Hollister, MO
Lindenwood University - Ozark Technical Community College Branson in Branson, MO
Lindenwood University - Ozark Technical Community College Ozark in Ozark, MO
Lindenwood University - Ozark Technical Community College Springfield in Springfield, MO
Lindenwood University - Parkway School District in Chesterfield, MO
Lindenwood University - Republic School District in Republic, MO
Lindenwood University - Riverview Gardens School District in St. Louis, MO
Lindenwood University - Rockwood Lafayette High School in Wildwood, MO
Lindenwood University - Rockwood School District in Eureka, MO
Lindenwood University - Saint Louis City Central Office in Saint Louis, MO
Lindenwood University - Saint Louis City Miller Career Academy in Saint Louis, MO
Lindenwood University - Saint Louis in Saint Louis, MO
Lindenwood University - School of Nursing and Allied Health Sciences in Dardenne Place, MO
Lindenwood University - South County Center in Saint Louis, MO
Lindenwood University - Special School District in St. Louis, MO
Lindenwood University - St. Anthony's Hospital/Hyland Educational Center in St. Louis, MO
Lindenwood University - St. Charles Firehouse 2 in St. Charles, MO
Lindenwood University - St. Clair High School in St. Clair, MO
Lindenwood University - St. Clair School District in St. Clair, MO
Lindenwood University - St. Louis City School District in St. Louis, MO
Lindenwood University - Strafford School District in Strafford, MO
Lindenwood University - Warrenton in Warrenton, MO
Lindenwood University - Warsaw Community Learning Center in Warsaw, MO
Lindenwood University - Washington High School in Washington, MO
Lindenwood University - Washington in Washington, MO
Lindenwood University - Waynesville High School in Waynesville, MO
Lindenwood University - Waynesville School District in Waynesville, MO
Lindenwood University - Weldon Spring Campus in Weldon Spring, MO
Lindenwood University - Wentzville Campus in Wentzville, MO
Lindenwood University - Wentzville School District in Wentzville, MO
Lindenwood University - West Plains School District in West Plains, MO
Lindenwood University - Westport Center in St. Louis, MO
Lindenwood University - Wildwood in Wildwood, MO
Lindenwood University - Wright City School District (Central Office) in Wright City, MO
Lindrith Area Heritage in Lindrith, NM
Lindsay High School in Lindsay, OK
Lindsay High School in Lindsay, TX
Lingleville School in Lingleville, TX
Linn Co Area Career Tech Ctr in Brookfield, MO
Linn Co. High in Purdin, MO
Linn Elem in Linn, KS
Linn High in Linn, KS
Linn High in Linn, MO
Linwood Public Charter School in Shreveport, LA
Lipan High School in Lipan, TX
Lipsey School in Brookhaven, MS
Lit Cypr-Mrceville High School in Orange, TX
Little Axe High School in Norman, OK
Little Bay Pri in Rockport, TX
Little Cypress Int in Orange, TX
Little Cypress J H in Orange, TX
Little Cypress-Mauriceville Alternative in Orange, TX
Little Indians Preschool in Yuma, CO
Little River High in Little River, KS
Little River Junior High in Little River, KS
Little River Virtual School in Little River, KS
Littlefield High School in Littlefield, TX
Littlefield J H in Littlefield, TX
Littlefield Pri in Littlefield, TX
Littleton Academy in Littleton, CO
Littleton High School in Littleton, CO
Littleton Prep Charter School in Littleton, CO
Litzsinger in Ladue, MO
Live Oak 1-3 Learning Center in Rockport, TX
Live Oak Academy in Buda, TX
Live Oak High School in Watson, LA
Living Way Leadership Academy in Brownsville, TX
Livingston High School Academy in Livingston, TX
Livingston High School in Livingston, TX
Livingston Int in Livingston, TX
Livingston J H in Livingston, TX
Livingston Parish Literacy & Technology Center in Walker, LA
Livonia High School in Livonia, LA
Lizzie M Burges Alternative School in Seguin, TX
Llano High School in Llano, TX
Llano J H in Llano, TX
Lockhart High School Freshman M L Cisneros Campus in Lockhart, TX
Lockhart High School in Lockhart, TX
Lockhart J H in Lockhart, TX
Lockhart Pride High School in Lockhart, TX
Lockney Daep in Plainview, TX
Lockney High School in Lockney, TX
Lockney J H in Lockney, TX
Lockwood High in Lockwood, MO
Lockwood Specl. Educ. Coop. in Lockwood, MO
Locust Ecc in Abilene, TX
Locust Grove Early Lrning Ctr in Locust Grove, OK
Locust Grove High School in Locust Grove, OK
Logan Ave Elem in Emporia, KS
Logan Elem in Logan, KS
Logan High in Logan, KS
Logan High in Logan, NM
Logan-Rogersville High in Rogersville, MO
Logan-Rogersville Primary in Rogersville, MO
Logansport High School in Logansport, LA
Lohn School in Lohn, TX
Loma Verde in El Paso, TX
Lomax J H in La Porte, TX
Lomega High School in Omega, OK
Lometa School in Lometa, TX
London High School in Corpus Christi, TX
Lone Grove High School in Lone Grove, OK
Lone Grove Intermediate School in Lone Grove, OK
Lone Jack High in Lone Jack, MO
Lone Oak High School in Lone Oak, TX
Lone Star College System - LSCS CyFair Coll in Cypress, TX
Lone Star College System - LSCS Kingwood Coll in Kingwood, TX
Lone Star College System - LSCS Montgomery Coll in Conroe, TX
Lone Star College System - LSCS North Harris Coll in Houston, TX
Lone Star College System - LSCS Tomball Coll in Tomball, TX
Lone Star College System - LSCS Univ Park Branch Campus in Houston, TX
Lone Star High School Central in Mart, TX
Lone Star High School East Central in Mart, TX
Lone Star High School in Frisco, TX
Lone Star High School North in Gainesville, TX
Lone Star High School South in Edinburg, TX
Lone Star High School Southeast in Giddings, TX
Lone Star High School West in Brownwood, TX
Lone Star Public School in Sapulpa, OK
Lone Star Undivided High School in Otis, CO
Lone Wolf High School in Lone Wolf, OK
Long Academy in Houston, TX
Long Beachigh Schoolenior High School in Long Beach, MS
Long Creek Attendance Center in Sallis, MS
Long Island Elem in Long Island, KS
Longmont High School in Longmont, CO
Longview High School in Lakewood, CO
Longview High School in Longview, TX
Lookeba-Sickles High School in Lookeba, OK
Lookout Mountain in Golden, CO
Loop School in Loop, TX
Lopez Early College High School in Brownsville, TX
Lopez School in Biloxi, MS
Loraine School in Loraine, TX
Loranger High School in Loranger, LA
Lord Beaconsfield Landry-Oliver Perry Walker High in New Orleans, LA
Lordsburg High in Lordsburg, NM
Loreauville High School in Loreauville, LA
Lorena High in Lorena, TX
Lorena Pri in Lorena, TX
Lorenzo De Zavala Environmental Science Academy in Grand Prairie, TX
Lorenzo High School in Lorenzo, TX
Lorenzo Loya Pri in San Elizario, TX
Los Alamos High in Los Alamos, NM
Los Encinos Ses in Corpus Christi, TX
Los Fresnos High School in Los Fresnos, TX
Los Fresnos United in San Benito, TX
Los Lunas Family School in Los Lunas, NM
Los Lunas High in Los Lunas, NM
Los Ninos in Clovis, NM
Los Puentes Charter in Albuquerque, NM
Losoya Int in San Antonio, TX
Lott Detention Center in Georgetown, TX
Lott Detention Center in Georgetown, TX
Lott Detention Center in Georgetown, TX
Lott Juvenile Detention Center in Georgetown, TX
Lotus School For Excellence in Aurora, CO
Louisburg High in Louisburg, KS
Louise High School in Louise, TX
Louise J H in Louise, TX
Louisiana Connections Academy in Baton Rouge, LA
Louisiana Correctional Institute For Women in St. Gabriel, LA
Louisiana High in Louisiana, MO
Louisiana Key Academy in Baton Rouge, LA
Louisiana School For Math Science & The Arts in Natchitoches, LA
Louisiana School For The Deaf in Baton Rouge, LA
Louisiana School For The Visually Impaired in Baton Rouge, LA
Louisiana Special Education Center in Alexandria, LA
Louisiana State Penitentiary in Angola, LA
Louisiana State University and A&M College - Louisiana State University Health Sciences Center in New Orleans, LA
Louisiana State University and A&M College - Louisiana State University Health Sciences CenterShreveport in Shreveport, LA
Louisiana State University and A&M College - Southern Louisiana Internship Consortium in Baton Rouge, LA
Louisiana State University and A&M College - The Louisiana School Psychology Internship Consortium in New Orleans, LA
Louisiana Technical College - Delta-Ouachita Campus - Louisiana Technical College Bastrop Campus in Bastrop, LA
Louisiana Technical College - Delta-Ouachita Campus - Louisiana Technical College North Central Campus in Farmerville, LA
Louisiana Technical College - Delta-Ouachita Campus - Louisiana Technical College Northeast Louisiana Campus in Winnsboro, LA
Louisiana Technical College - Delta-Ouachita Campus - Louisiana Technical College Ruston Campus in Ruston, LA
Louisiana Technical College - Delta-Ouachita Campus - Louisiana Technical College Tallulah Campus in Tallulah, LA
Louisiana Technical College - Lafayette - Louisiana Technical College Acadian Campus in Crowley, LA
Louisiana Technical College - Lafayette - Louisiana Technical College Charles B. Coreil Campus in Ville Platte, LA
Louisiana Technical College - Lafayette - Louisiana Technical College Evangeline Campus in Saint Martinville, LA
Louisiana Technical College - Lafayette - Louisiana Technical College Gulf Area Campus in Abbeville, LA
Louisiana Technical College - Lafayette - Louisiana Technical College T. H. Harris Campus in Opelousas, LA
Louisiana Technical College - Lafayette - Louisiana Technical College Teche Area Campus in New Iberia, LA
Louisiana Virtual Charter Academy in New Orleans, LA
Louisville High School in Louisville, MS
L'Ouverture Computer Technology Magnet in Wichita, KS
Lovejoy Daep in Allen, TX
Lovejoy High School in Lucas, TX
Lovelady J H High School in Lovelady, TX
Loveland Classical School in Loveland, CO
Loveland High School in Loveland, CO
Loving High in Loving, NM
Lovington 6Th Grade Academy in Lovington, NM
Lovington Freshman Academy in Lovington, NM
Lovington High in Lovington, NM
Lowell Elem in Winfield, KS
Lowery Freshman Center in Allen, TX
Lowery Road in Fort Worth, TX
Lowman Hill Elem in Topeka, KS
Lowndes County Alternative School in Columbus, MS
Lowrey Public School in Tahlequah, OK
Loyd Star School in Brookhaven, MS
Loyola University Maryland - Houston Montessori Institute in Bellaire, TX
Loyola University Maryland - Montessori Training Center of St. Louis in St. Louis, MO
Loyola University Maryland - Montessori Training Center of St. Louis in St. Louis, MO
Loyola University Maryland - The Montessori Institute in Denver, CO
Lsu Laboratory School in Baton Rouge, LA
Lubbock Co J J A E P in Lubbock, TX
Lubbock Co J J A E P in Lubbock, TX
Lubbock Co J J A E P in Lubbock, TX
Lubbock Co J J A E P in Lubbock, TX
Lubbock Co J J A E P in Lubbock, TX
Lubbock Co Juvenile Justice Ctr in Lubbock, TX
Lubbock Co Youth Ctr in Lubbock, TX
Lubbock Co Youth Ctr in Shallowater, TX
Lubbock High School in Lubbock, TX
Lubbock-Cooper High School in Lubbock, TX
Lucas Pk in Beaumont, TX
Lucedale Intermediate School in Lucedale, MS
Lucille Cherbonnier/Norbert Rillieux Elem. School in Waggaman, LA
Lucille Nash Intermediate in Kaufman, TX
Lueders-Avoca High School in Avoca, TX
Lufkin High School in Lufkin, TX
Lukfata Public School in Broken Bow, OK
Luling High School in Luling, TX
Luling Pri in Luling, TX
Lumberton Early Childhood School in Lumberton, TX
Lumberton High School in Lumberton, MS
Lumberton High School in Lumberton, TX
Lumberton Int in Lumberton, TX
Lumberton Pri in Lumberton, TX
Lumin Lindsley Park Community School in Dallas, TX
Luna Community College - Santa Rosa Satellite in Santa Rosa, NM
Luna Community College - Springer Satellite in Springer, NM
Lusher Charter School in New Orleans, LA
Lutcher High School in Lutcher, LA
Luther Branson School in Canton, MS
Luther High School in Luther, OK
Lutheran School of Theology at Chicago - Austin location (Lutheran Seminary Program in the Southwest) in Austin, TX
Lutie High in Theodosia, MO
Lvcs Early Childhood in Las Vegas, NM
Lycee Francais De La Nouvelle-Orleans in New Orleans, LA
Lyford High School in Lyford, TX
Lyndon B Johnson Daep in Grand Prairie, TX
Lyndon B Johnson High School in Johnson City, TX
Lyndon B Johnson in Laredo, TX
Lyndon Elem in Lyndon, KS
Lyndon High in Lyndon, KS
Lyons High School in Lyons, KS
Lytle Daep in Lytle, TX
Lytle High School in Lytle, TX
Lytle J H in Lytle, TX
Lytle Primary School in Lytle, TX
M B North E C Lrn Ctr in Orange, TX
M E Pearson Elem in Kansas City, KS
M L King Academy in San Antonio, TX
M R Wood Center For Learning in Sugar Land, TX
M. S. Palmer High School in Marks, MS
Mabank Daep in Mabank, TX
Mabank High School in Mabank, TX
Mabank Int in Mabank, TX
Mabank J H in Mabank, TX
Macarthur Area Int in Houston, TX
Macarthur Elem in Fort Leavenworth, KS
Macarthur Elem in Liberal, KS
Macarthur High School in Houston, TX
Macarthur High School in Irving, TX
Macarthur High School in Lawton, OK
Macarthur High School in San Antonio, TX
Macarthur Ninth Grade School in Houston, TX
Macks Creek High in Macks Creek, MO
Macksville Elem in Macksville, KS
Macksville High in Macksville, KS
Macomb High School in Macomb, OK
Macon Area Voc. School. in Macon, MO
Macon Co. High in New Cambria, MO
Macon Sr. High in Macon, MO
Madge T. James Kind. Ctr. in Webb City, MO
Madill High School in Madill, OK
Madison Central High School in Madison, MS
Madison Co Pre School in Ridgeland, MS
Madison Co Voc Complex in Madison, MS
Madison Co. Alternative School in Madison, MS
Madison Elem in Madison, KS
Madison High in Madison, KS
Madison High in Madison, MO
Madison High School in Houston, TX
Madison High School in San Antonio, TX
Madison High School in Tallulah, LA
Madison Preparatory Academy in Baton Rouge, LA
Madisonville High School in Madisonville, TX
Madisonville Int in Madisonville, TX
Madisonville J H in Madisonville, TX
Madisonville Junior High School in Madisonville, LA
Mae Luster Stephens J H in Linden, TX
Mae Stevens Early Learning Academy in Copperas Cove, TX
Magdalena High in Magdalena, NM
Magee High School in Magee, MS
Magnet Academy For Cultural Arts in Opelousas, LA
Magnolia Grove School in Meridian, MS
Magnolia High School in Magnolia, TX
Magnolia J H in Magnolia, TX
Magnolia Montessori For All in Austin, TX
Magnolia School Of Excellence in Shreveport, LA
Magnolia Sixth Grade Campus in Magnolia, TX
Magnolia West High School in Magnolia, TX
Mahaffie Elem in Olathe, KS
Main Street Alternative School in Bolton, MS
Main Street Int in Taylor, TX
Mainland Preparatory Academy in La Marque, TX
Mainland Preparatory Academy in La Marque, TX
Maize South High School in Wichita, KS
Maize Sr High in Maize, KS
Malakoff Alternative Program (Map) in Malakoff, TX
Malakoff High School in Malakoff, TX
Malcolm Rector Technical High School in Nacogdoches, TX
Malden High in Malden, MO
Malone University - Fellowship of Christian Athletes Extension in Kansas City, MO
Malta Bend High in Malta Bend, MO
Mambrino School in Granbury, TX
Mamou High School in Mamou, LA
Manara Academy in Irving, TX
Manara Stem Academy - Arlington in Arlington, TX
Mancos Early Learning Center in Mancos, CO
Mancos High School in Mancos, CO
Mandarin Chinese Language Immersion Magnet School in Bellaire, TX
Mandela International Magnet (Mims) in Santa Fe, NM
Mandeville High School in Mandeville, LA
Mandeville Junior High School in Mandeville, LA
Mangham High School in Mangham, LA
Mangham Junior High School in Mangham, LA
Mangum High School in Mangum, OK
Manhattan Area Technical College - Cloud County Community College in Junction City, KS
Manhattan Christian College - Butler County Community College in Andover, KS
Manhattan Christian College - Westlink Christian Church in Wichita, KS
Manhattan High School West/East Campus in Manhattan, KS
Manitou Springs High School in Manitou Springs, CO
Mannford Ec Ctr in Mannford, OK
Mannford High School in Mannford, OK
Manning Options School in Lakewood, CO
Mannsville Public School in Mannsville, OK
Manor Excel Academy in Manor, TX
Manor High School in Manor, TX
Manor New Technology High in Manor, TX
Mansfield Frontier High School in Mansfield, TX
Mansfield High in Mansfield, MO
Mansfield High School in Mansfield, LA
Mansfield High School in Mansfield, TX
Mansfield Jr. High in Mansfield, MO
Mansfield Lake Ridge High School in Mansfield, TX
Mansfield Legacy High School in Mansfield, TX
Mansfield Summit High School in Arlington, TX
Mansfield Timberview High School in Arlington, TX
Mantachie Attendance Center in Mantachie, MS
Manual Career Tech. Ctr. in Kansas City, MO
Manual High School in Denver, CO
Manuel & Theresa's School of Hair Design - Victoria in Victoria, TX
Manvel High School in Manvel, TX
Manvel J H in Rosharon, TX
Many High School in Many, LA
Many Junior High School in Many, LA
Many Preschool Center in Many, LA
Manzano High in Albuquerque, NM
Manzanola Junior-Senior High School in Manzanola, CO
Mapaville School in Mapaville, MO
Maple Hill Elem in Maple Hill, KS
Maple Public School in Calumet, OK
Maple Valley School in Kansas City, MO
Mapleton Early Childhood Center in Boulder, CO
Mapleton Early College High School in Thornton, CO
Mapleton Expeditionary School Of The Arts in Thornton, CO
Maplewood-Richmond Hgts. High in Maplewood, MO
Marais Des Cygnes Valley Elem in Quenemo, KS
Marais Des Cygnes Valley High in Melvern, KS
Marathon Independent School Dist in Marathon, TX
Marble Charter School in Marble, CO
Marble City Public School in Marble City, OK
Marble Falls High School in Marble Falls, TX
Marceline High in Marceline, MO
Marcella Int in Houston, TX
Marcia R Garza in Alamo, TX
Marcus 9Th Grade Campus in Flower Mound, TX
Marcus High School in Flower Mound, TX
Marfa Schools in Marfa, TX
Margaret Green Junior High School in Cleveland, MS
Mariano Lake Community School in Crownpoint, NM
Marie L. Greenwood Academy in Denver, CO
Marietta High School in Marietta, OK
Marine Creek Collegiate High School in Fort Worth, TX
Marinello School of Beauty - Manhattan - Marinello School of Beauty Lawrence in Lawrence, KS
Marinello School of Beauty - Topeka - Marinello School of Beauty Overland Park in Overland Park, KS
Marinello School of Beauty - Topeka - Marinello School of Beauty Wichita in Wichita, KS
Marion C. Early High in Morrisville, MO
Marion C. Early Junior High in Morrisville, MO
Marion Co Voc Complex in Columbia, MS
Marion Co. High in Philadelphia, MO
Marion Elem in Marion, KS
Marion High in Marion, KS
Marion High School in Marion, TX
Marion Park Complex in Meridian, MS
Marionville High in Marionville, MO
Mark Twain Elem in Kansas City, KS
Mark Twain Jr. High in Center, MO
Mark Twain Leadership Vanguard in Dallas, TX
Mark Twain Sr. High in Center, MO
Marksville High School in Marksville, LA
Marlatt Elem in Manhattan, KS
Marlin Alternative Education Program in Marlin, TX
Marlin Daep in Marlin, TX
Marlin High School in Marlin, TX
Marlin Junior Academy in Marlin, TX
Marlin Pri Academy in Marlin, TX
Marlow High School in Marlow, OK
Marmaton Valley Elem in Moran, KS
Marmaton Valley High in Moran, KS
Marquand-Zion High in Marquand, MO
Marquette Sr. High in Chesterfield, MO
Marrero Academy For Advanced Studies in Marrero, LA
Marshall High School in Marshall, TX
Marshall High School in San Antonio, TX
Marshall J H in Marshall, TX
Marshall Sr. High in Marshall, MO
Marshfield High in Marshfield, MO
Marshfield Jr. High in Marshfield, MO
Mart Academic Alernative Program in Mart, TX
Mart High School in Mart, TX
Martin Behrman Charter Acad Of Creative Arts & Sci in New Orleans, LA
Martin Bluff in Gautier, MS
Martin High School in Arlington, TX
Martin High School in Laredo, TX
Martin L King Career Technology in Woodville, MS
Martin Luther King Jr Learning Center in Dallas, TX
Martin Luther King Jr. Early College in Denver, CO
Martin Luther King Junior High School in Monroe, LA
Martin M S in Austin, TX
Martins Mill High School in Martin'S Mill, TX
Martinsville School in Martinsville, TX
Martyn Alternative School in Jefferson, LA
Marvin W Foote Youthigh Schoolervices in Centennial, CO
Mary Bethune Alternative in Hattiesburg, MS
Mary D. Coghill Charter School in New Orleans, LA
Mary E Smithey Pace High School in Duncanville, TX
Mary Grett School in Corpus Christi, TX
Mary Harris Int in Fort Worth, TX
Mary Lillard I S in Mansfield, TX
Mary Lou Hartman in San Antonio, TX
Mary Orr Int in Mansfield, TX
Mary Reid School (K-3) in Potts Camp, MS
Maryetta Public School in Stilwell, OK
Marysville Elem in Marysville, KS
Marysville Jr/Sr High in Marysville, KS
Maryville High in Maryville, MO
Maryville Treatment Center in Maryville, MO
Maryville University of Saint Louis - FieldBased Site: Graduate Education, Haz in Hazelwood, MO
Maryville University of Saint Louis - FieldBased Site: Graduate Education, Web in Webster Groves, MO
Maryville University of Saint Louis - Mercy Hospital St. Louis in St. Louis, MO
Maryville University of Saint Louis - St. Charles #2 in O'Fallon, MO
Maryville University of Saint Louis - Weekend & Evening College Lake Saint Louis in Lake St. Louis, MO
Maryville University of Saint Louis - Weekend & Evening College Sunset Hills in Sunset Hills, MO
Maryville University of Saint Louis - Weekend & Evening CollegeSouthwest County Center in Fenton, MO
Mason High School in Mason, OK
Mason High School in Mason, TX
Mason J H in Mason, TX
Mata Int in Houston, TX
Matagorda School in Matagorda, TX
Math/Science/Tech Magnet in Richardson, TX
Mathematics And Science Leadership Academy in Denver, CO
Mathis High School in Mathis, TX
Mathis Int in Mathis, TX
Matthews Learning Center in Lubbock, TX
Maud High School in Maud, OK
Maud School in Maud, TX
Maude Bishop Elem in Topeka, KS
Maurepas School in Maurepas, LA
Maxwell High in Maxwell, NM
May High School in May, TX
Maya Angelou High School in Dallas, TX
Maybell School in Maybell, CO
Mayde Creek High School in Houston, TX
Mayde Creek J H in Houston, TX
Mayfair Laboratory School in Baton Rouge, LA
Mayfield High in Las Cruces, NM
Maypearl High School in Maypearl, TX
Maypearl Int in Maypearl, TX
Maypearl J H in Maypearl, TX
Maysville High School in Maysville, OK
Maysville Jr.-Sr. High in Maysville, MO
Mc Clave Undivided High School in Mc Clave, CO
Mc Dougal Center in Tupelo, MS
Mc Lain Community High School in Lakewood, CO
Mc Lain High School in Lakewood, CO
Mcadams Attendance Center in Mcadams, MS
Mcalester High School in Mcalester, OK
Mcallen High School in Mcallen, TX
Mcanally Int in Aledo, TX
Mcauliffe International School in Denver, CO
Mccallum High School in Austin, TX
Mccamey High School in Mccamey, TX
Mccamey Pri in Mccamey, TX
McCann School of Business and Technology - MillerMotte Technical College Gulfport in Gulfport, MS
Mccarter Elem in Topeka, KS
Mccluer High in Florissant, MO
Mccluer North High in Florissant, MO
Mccluer South-Berkeley High in Ferguson, MO
Mcclure Elem in Topeka, KS
Mccollom Elem in Wichita, KS
Mccollum High School in San Antonio, TX
